pitcher_id,pitcher_name,workload_category,mean_velo_dev,count
676702,Hunter Stratton,Medium,0.08271993401819135,17
445926,Jesse Chavez,Medium,-0.01662318029833776,93
571521,Rex Brothers,Medium,0.06428911590703912,32
592761,Caleb Smith,High,-0.06483918841186782,12
571882,Derek Law,Low,-0.006108649757774539,14
643493,Austin Pruitt,Low,-0.2807943363825653,6
656458,Lucas Gilbreath,High,-0.1392533613011072,7
641501,Tyler Danish,Medium,0.11400094078033002,15
671345,Jason Foley,Low,0.014232933567243615,76
659275,Dinelson Lamet,Low,-0.0665216164835769,14
663158,Robert Suarez,Medium,-0.012020302418970674,64
641394,Jake Brentz,High,0.15637184110547273,6
594580,Sam Moll,Medium,-0.0736674543688558,84
676051,Codi Heuer,High,-0.277096728064015,5
606149,Giovanny Gallegos,Low,-0.00019985285063694232,71
641627,Trevor Gott,Medium,0.09748070477951089,62
519043,Matt Moore,Medium,-0.04925845847352647,97
650530,Bryan Garcia,Medium,0.10245278759984996,18
669912,Kirby Snead,Low,0.050162116490553785,25
598264,Matt Barnes,High,0.3567518194318765,10
544727,Jeurys Familia,Low,0.2561326037673055,38
663574,Tony Santillan,Medium,-0.07925027912944031,20
476595,Lucas Luetge,Low,-0.18151837503620005,30
670950,Trevor Richards,High,-0.15785858115380944,14
664854,Ryan Helsley,Medium,-0.05955004794108458,130
664123,Scott Effross,Low,0.2520655357231706,21
656629,Michael Kopech,Medium,0.03823501258206436,39
606930,Jacob Barnes,Medium,0.04882948297183061,43
679885,Justin Martinez,Medium,-0.03309658189842293,35
643511,Tyler Rogers,High,0.10834159737353406,26
571948,Hoby Milner,Medium,0.005026971244143768,115
642397,Gregory Soto,Medium,-0.0789335096888148,140
592773,Ryne Stanek,Low,-0.06366291678593711,100
669395,Dylan Coleman,Low,0.3798117203183672,17
660813,Brusdar Graterol,Medium,-0.07821792951425602,89
641703,Brent Honeywell,Medium,0.07238244091690128,36
543339,Daniel Hudson,Low,-0.013330557527199095,47
669330,Tyler Wells,Medium,-0.13231812363940906,22
607237,Amir Garrett,Low,0.04607475927247926,55
571710,Mychal Givens,High,0.03610309694545322,5
666168,Mason Thompson,Low,-0.013905401177104358,18
592454,Tommy Kahnle,Medium,-0.13978066958554394,43
650556,Bryan Abreu,High,-0.2546112344884092,34
642701,Dennis Santana,Medium,-0.029161762316672155,102
641835,Tim Mayza,Medium,-0.019054137142210454,117
519293,Will Smith,High,0.07580314275595246,16
656271,Brock Burke,Low,-0.018277760907295406,46
598264,Matt Barnes,Medium,-0.18427380868973006,51
605130,Scott Barlow,Low,-0.08613806919593348,64
641401,Connor Brogdon,Medium,-0.1987595295211571,56
689147,Orion Kerkering,Low,0.15973894769639577,13
669330,Tyler Wells,Low,0.3676315179923346,16
593833,Wander Suero,Low,0.36960570881746885,11
518489,Ryan Brasier,High,0.3848160267110501,8
641793,Zack Littell,High,-0.11970650383130003,13
592426,Luke Jackson,High,-0.15341629928117015,10
664776,Jake Cousins,High,-0.9196406833073582,5
669796,Jose Hernandez,Low,-0.231379208829133,18
608349,Corey Knebel,Low,-0.1763783008057942,10
656464,Kevin Ginkel,Medium,0.00018650443825426292,76
687330,Kevin Kelly,Low,-0.25463936348547345,42
669395,Dylan Coleman,Medium,-0.1308304128862271,43
542882,Matt Andriese,Medium,0.0624111554599033,17
640448,Kyle Finnegan,Low,-0.016507379078415596,84
621348,Sam Clay,High,-0.372193187881211,6
607455,Anthony Banda,High,0.5405481676785594,7
605154,John Brebbia,High,-0.18661867613120567,7
518617,Jake Diekman,Medium,-0.07170002130258465,130
592094,Jason Adam,High,0.3516956255363531,14
622098,Drew Smith,Medium,-0.06022598620897523,88
641582,Matt Foster,Medium,0.026783600880251657,47
592741,Chasen Shreve,Medium,0.0563233461913027,56
501925,Joe Smith,Medium,0.17552338966136258,14
664776,Jake Cousins,Low,-0.02881869602009246,20
682842,Abner Uribe,Medium,0.04879360921156873,19
640444,Wil Crowe,Medium,-0.0508954933624773,31
681911,Alex Vesia,Low,0.05625562353642275,81
676684,Will Vest,Medium,0.05395024270762976,98
596112,Robert Stephenson,Low,0.08692586252664311,72
502624,Chase Anderson,Medium,-0.13885491868185795,15
643377,Griffin Jax,High,-0.12231696092894495,12
641627,Trevor Gott,Low,-0.12148118968699932,37
687863,Porter Hodge,Low,-0.289203883992478,16
519043,Matt Moore,High,0.131517115884868,15
592858,Rowan Wick,Low,0.26907599168632,20
642121,Cole Sulser,Low,-0.04863344461182554,28
592155,Cam Booser,High,-0.02914207362105496,6
676760,Ron Marinaccio,Low,-0.09981751792266343,17
523260,Joe Kelly,Low,0.03655103357653283,65
689225,Beau Brieske,High,-0.08107943421062405,7
503569,Rafael Dolis,Medium,-0.029237932093322844,19
622075,Yency Almonte,High,0.1270341269890906,5
544365,Manny Banuelos,Medium,-0.015984334045833617,22
642397,Gregory Soto,Low,0.05191236377932569,95
608716,Drew Steckenrider,Medium,0.268174646521004,35
680704,Nick Sandlin,Medium,0.07692592539880963,120
623465,Evan Phillips,Medium,-0.05069698450138937,98
656464,Kevin Ginkel,High,-0.2983179312410554,14
623451,Jackson Stephens,Medium,0.06478656913981595,20
681806,Andrew Wantz,Low,0.031291024294340275,10
664123,Scott Effross,Medium,-0.12552320886557147,35
687330,Kevin Kelly,Medium,0.14830057403851424,70
695243,Mason Miller,Low,0.04310721156170594,16
664199,Taylor Clarke,Medium,-0.022286235985369846,87
572955,Pierce Johnson,Medium,-0.030805918793897085,96
573124,Taylor Rogers,High,-0.13250611662395886,14
621052,Alex Reyes,Low,-0.21652795271372494,16
676092,Collin Snider,High,0.15022872439532314,7
605177,Andrew Chafin,Low,0.09534015084082353,120
663568,Stephen Kolek,High,0.16144275335154532,5
676395,Robert Garcia,Medium,-0.09563455285233818,55
641871,Keynan Middleton,Medium,-0.06890428818028731,43
661383,Oliver Ortega,Low,0.007955960534273585,9
669912,Kirby Snead,Medium,-0.05318851240291088,18
503449,Wily Peralta,Low,-0.04962748457172772,8
666214,Joey Wentz,Low,0.39981254658721826,12
686839,Brendan White,Low,-0.2485879629629417,7
518489,Ryan Brasier,Medium,-0.11303845897486987,67
542914,Anthony Bass,High,-0.17722235325509164,7
571656,Buck Farmer,High,-0.27606584614866175,19
681892,Kody Funderburk,Medium,0.04955312623878191,15
657508,Mike Baumann,Low,0.014712147280545746,31
666168,Mason Thompson,Medium,-0.002456081225315327,27
664208,Phil Maton,Low,0.10152160690034281,76
572193,Ryan Tepera,Medium,0.06839000874463898,71
543339,Daniel Hudson,High,0.17853853579132326,6
613534,Austin Adams,High,-0.012357592772531234,5
676714,Brandon Hughes,Low,0.008523344703666188,12
641656,Ian Hamilton,Medium,-0.07416997261650855,23
663568,Stephen Kolek,Medium,-0.12647517394483443,23
656222,Jalen Beeks,Low,0.3859353300065401,18
676760,Ron Marinaccio,High,0.20103096845685348,11
641656,Ian Hamilton,Low,0.17670120637824027,9
663765,Jake Woodford,Low,0.14590318435368083,7
641386,Ben Bowden,Low,0.012855804656697955,15
606625,Reyes Moronta,Low,-0.03776291651290649,10
518813,Greg Holland,Medium,-0.029971538641268225,32
695243,Mason Miller,Medium,0.0181668145914351,32
657585,Reed Garrett,Low,0.5788146686904895,15
592390,Heath Hembree,Low,0.08248889065445691,18
547184,Michael Kelly,Medium,0.07350045093797443,15
666745,Jhony Brito,Medium,-0.03587831445560994,15
542888,Shawn Armstrong,Medium,-0.4031748616426209,15
669093,Jeremiah Estrada,Medium,0.11363141814080846,32
518617,Jake Diekman,Low,0.14126298503879378,88
668674,Lucas Erceg,Low,-0.09009022136303566,33
518886,Craig Kimbrel,Medium,-0.0017908549808656117,145
606160,Rafael Montero,Low,0.16029245913081058,67
607572,Sam Howard,Low,0.2232437523931272,15
544365,Manny Banuelos,Low,-0.1368238020644507,9
543272,Brad Hand,Low,0.009757161535920355,62
613534,Austin Adams,Medium,0.003935204220086556,52
658648,Pedro Avila,Low,0.05897197263357867,10
596133,Luke Weaver,High,0.06248163762367552,14
605121,Justin Anderson,Medium,-0.15278174929611588,32
664294,Dauri Moreta,Low,0.2397547104725576,23
607179,Jordan Weems,Low,0.020058256409077404,28
592229,Dylan Covey,Medium,0.017706227233296963,13
641793,Zack Littell,Low,-0.16556189994751327,23
664918,Kyle Keller,Medium,-0.1822328867276458,14
640451,Hunter Harvey,Low,-0.06329386233687972,35
573124,Taylor Rogers,Medium,0.042285163821779874,118
663542,Bryan Hudson,Low,0.041640194753258676,12
676051,Codi Heuer,Low,0.19800004492034765,26
647315,Zach Pop,High,0.10853012708382152,5
519151,Ryan Pressly,Low,-0.0202851846927371,111
663878,Nate Pearson,High,0.1571837364255316,5
681911,Alex Vesia,High,-0.013974552221872964,13
622250,Josh Sborz,High,-0.16286239516998985,11
669684,Chris Murphy,Low,0.4687193243466311,5
571948,Hoby Milner,Low,0.12762126969280083,63
663460,Kris Bubic,Low,0.2777605843230795,8
670950,Trevor Richards,Low,0.020036200646160823,27
607481,Aaron Bummer,High,-0.033355483695561364,10
571946,Shelby Miller,High,-0.5958194739743021,5
671345,Jason Foley,High,0.28348075113503624,5
607572,Sam Howard,Medium,-0.0654861364780634,30
641755,Tyler Kinley,High,0.09489236653671974,18
521230,Liam Hendriks,High,-0.01547947271628455,14
664875,Justin Lawrence,Low,0.07105400285718133,38
657044,Ryan Thompson,Medium,0.026592993815102703,92
570663,Hansel Robles,Low,-0.07233202985647295,20
656945,Tanner Scott,Medium,0.021334426056108552,169
433589,Yusmeiro Petit,Low,-0.10750289438172445,20
681982,Grant Anderson,Low,0.04522291082152918,6
621074,Michael Rucker,Low,0.037034868920222855,27
669424,Jimmy Lambert,Medium,0.11305148699232266,19
628452,Raisel Iglesias,Medium,0.05257218615827645,134
661527,Seth Martinez,High,0.3923920911423331,11
675627,Michael Grove,Low,0.1710266544422361,11
641582,Matt Foster,Low,-0.04770367778985388,33
608723,Austin Voth,High,0.1526666272324119,13
621366,Ryan Borucki,Medium,0.07629258154877468,17
664076,Garrett Cleavinger,Low,-0.30107672063985175,23
656641,Jacob Latz,Low,0.25976744782996186,15
663542,Bryan Hudson,Medium,-0.013712677564574104,26
670167,John Schreiber,Medium,0.03162822493276169,107
668674,Lucas Erceg,Medium,0.08722882011990259,67
695243,Mason Miller,High,-0.2542106903828369,5
642152,Lou Trivino,Medium,-0.03444257156600692,80
663773,Bryan Hoeing,Low,-0.06335936284614392,11
519151,Ryan Pressly,Medium,0.027404353881057934,112
592767,Drew Smyly,Medium,0.07356873726789545,29
621074,Michael Rucker,Medium,-0.03643763899943427,38
542882,Matt Andriese,Low,0.04353470937617606,12
571656,Buck Farmer,Low,0.10111065254730911,49
642232,Ryan Yarbrough,Medium,0.21226914478354178,21
500610,Deolis Guerra,Medium,-0.005715718752353138,27
607625,Seth Lugo,Medium,-0.04901121410350061,63
669618,Joe Barlow,Low,0.0005770155770253243,18
453192,Andrew Miller,Medium,-0.5001397368064223,18
642758,Domingo Acevedo,Low,0.13271112221114692,20
642083,Aaron Slegers,Low,0.2552928179820967,10
661383,Oliver Ortega,Medium,-0.17101647388474378,13
666205,Kyle Muller,Medium,-0.03481829994954353,15
667463,John King,Low,0.06695099338940172,60
643377,Griffin Jax,Low,0.13965393531092504,69
608717,Chris Stratton,Low,-0.05575904407456016,65
656794,Sean Newcomb,Low,0.032914669422614416,12
663893,Brendon Little,Medium,-0.09578965653074202,23
